Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,adventskalender,"99,99",B06XP3ZMVD,Nici 41240 - Kosmetik Adventskalender Einhorn Theodor,"7,58","3,12",3742300954,Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken,"5,76","6,14",B00ALPZGBW,"Huber-Kölle „Pringles“ Bus Adventskalender, 1er Pack (1 x 2.08 kg)","4,55","3,24"
Amazon.de,alexa,"99,99",B01GAGVCUY,"Amazon Echo, Schwarz","39,16","25,3",B01DFKBG54,"Amazon Echo Dot (2. Generation), Schwarz","30,89","14,75",B01GAGVWYU,"Amazon Echo, Weiß","10,84","16,34"
Amazon.de,destiny 2,"99,99",B06XXKZCSM,Destiny 2 - Standard Edition - [PlayStation 4],"77,08","17,35",B06XY44YBZ,Destiny 2 - Collector's Edition (exkl. bei Amazon.de) - [PlayStation 4],"9,4","4,8",B074G4YYSK,,"2,5",0
Amazon.de,fifa 18,"99,99",B072M7NPMC,FIFA 18 - Standard Edition - [PlayStation 4],"67,45","43,83",B072Q5XPQP,FIFA 18 - Ronaldo Edition - [PlayStation 4],"20,59","36,29",B073B75FVV,FIFA 18: ICON Edition + Steelbook | PS4 Download Code - deutsches Konto,"3,38","14,88"
Amazon.de,fifa 18 ps4,"99,99",B072M7NPMC,FIFA 18 - Standard Edition - [PlayStation 4],"65,02","39,49",B072Q5XPQP,FIFA 18 - Ronaldo Edition - [PlayStation 4],"22,19","32,03",B073B75FVV,FIFA 18: ICON Edition + Steelbook | PS4 Download Code - deutsches Konto,"5,53","22,82"
Amazon.de,guardians of the galaxy 2,"99,99",B072BBV1DL,Guardians of the Galaxy 2 [Blu-ray],"76,74","37,91",B072DXDFY6,Guardians of the Galaxy Vol. 2,"4,28","5,6",B06XYS1883,Guardians of the Galaxy Vol. 2: Awesome Mix Vol. 2,"3,83","6,08"
Amazon.de,iphone 7 hülle,"99,99",B01J1L5N3M,mumbi UltraSlim Hülle für iPhone 8 / iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm),"48,09","23,02",B01J1L5P6C,mumbi Schutzhülle für iPhone 8 / iPhone 7 Hülle,"36,88","14,98",B01J1L5IHS,mumbi double GRIP Hülle für iPhone 8 / iPhone 7 Schutzhülle schwarz,"9,29","10,19"
Amazon.de,kindle,"99,99",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","36,04","8,62",B0186FESVC,"Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","17,12","22,29",B00IOY524S,"Kindle Voyage eReader, 15,2 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integriertem intelligenten Frontlicht, PagePress-Sensoren, WLAN","9,56","5,41"
Amazon.de,nerf,"99,99",B01MXLMEAP,"Hasbro Nerf B9837EU4 - N-Strike Elite Disruptor, Spielzeugblaster","7,83","6,71",B00VEMM3RG,"Hasbro Nerf B1538EU4 N - Strike Elite Modulus ECS-10 Blaster, Spielzeugblaster","6,74","3,08",B06XYJ6SRY,"Hasbro Nerf C1895EU6 - N-Strike Elite AccuStrike Raptorstrike, Spielzeugblaster","6,73","2,88"
Amazon.de,nintendo switch,"99,99",B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,"34,7","9,65",B01M6ZGICT,Nintendo Switch Konsole Grau,"8,02","8,33",B075LSK284,Nintendo Switch Konsole Rot + Mario Odyssey,"6,51","1,74"
Amazon.de,playmobil,"99,99",B00IF1VVFO,PLAYMOBIL 5568 - Kinderspielplatz,"4,17","3,18",B0077QT4VG,Playmobil 5167 - Mein Neues Mitnehm-Puppenhaus,"3,56","2,07",B01608M48G,PLAYMOBIL 6865 - Schulhaus,"3,48","2,33"
Amazon.de,ps4 spiele,"99,99",B06Y5S2JML,Uncharted: The Lost Legacy - [PlayStation 4],"4,89","1,13",B072M7NPMC,FIFA 18 - Standard Edition - [PlayStation 4],"4,89","0,07",B071FR6VZ6,Need for Speed - Payback - [PlayStation 4],"3,82","0,67"
Amazon.de,tablet,"99,99",B01ERY8650,"Samsung Galaxy Tab A (2016) T580 25,54 cm (10,1 Zoll) Wi-Fi Tablet-PC (Octa-Core, 2GB RAM, 16GB eMMC, Android 6.0, neue Version) schwarz","20,26","9,32",B01J94TL6Q,"Das neue Fire HD 8-Tablet, 20,3 cm (8 Zoll) HD Display, 16 GB (Schwarz), mit Spezialangeboten","14,89","11,98",B01J90P010,"Das neue Fire 7-Tablet, 17,7 cm (7 Zoll) Display, 8 GB (Schwarz), mit Spezialangeboten","9,65","11,38"
Amazon.de,( Leer ),"99,98",B01D2VMCE0,"Zewa Wisch und Weg Küchenrollen Original, saugstarke Wischtücher, 1 x 4 Rollen (4 x 45 Blatt)","1,55","0,17",B01J5W9SXS,"Dalber 41412H Wolken Hängelampe Türkisfarbige, Plastik, grün, 33 x 33 x 25 cm","1,03",0,B01D1QQEYA,Toffifee - Haselnusspralinen mit Karamell und Nougatcreme - 125g,"0,65","0,06"
Amazon.de,adventskalender 2017,"99,98",B071JRK6SC,"Intersnack Adventskalender 2017, 1er Pack (1 x 790 g)","5,95","3,66",B07447DHQK,"essie Adventskalender 2017, 1 Stück","5,11","0,44",B06VTCBK1C,Schleich 97447 - Adventskalender Pferde 2017,"4,14","0,75"
Amazon.de,alien covenant,"99,98",B071S2Y679,Alien: Covenant [Blu-ray],"72,76","23,14",B072NF1SMD,Alien 1-6 Steelbook [Blu-ray] [Limited Edition],"10,3","7,75",076246268X,Alien: Hissing Xenomorph and Illustrated Book: With Sound! (Miniature Editions),"4,62","16,46"
Amazon.de,elektrische zahnbürste,"99,98",B00KBWBPRY,"Oral-B Pro 600 Elektrische Zahnbürste, mit Timer und CrossAction Aufsteckbürste, weiß","21,47","11,09",B0140IEGIE,"Oral-B Pro 750 Elektrische Zahnbürste, mit CrossAction Aufsteckbürste, Bonus Pack mit Reise-Etui, schwarz","12,24","6,95",B013EGEFQQ,"Oral-B Pro 690 Elektrische Zahnbürste, mit zwei CrossAction Aufsteckbürsten, Bonus Pack mit 2 Handstücken, weiß","6,36","3,22"
Amazon.de,fire tv stick 2,"99,98",B01ETRIS3K,Fire TV Stick mit Alexa-Sprachfernbedienung,"82,64","47,78",B01ETRGSPA,"Fire TV Stick mit Alexa-Sprachfernbedienung, Zertifiziert und generalüberholt","6,38","20,51",B00UH4UTGO,"Amazon Fire TV, Zertifiziert und generalüberholt, mit 4K Ultra HD","3,76","6,33"
Amazon.de,kalender 2018,"99,98",3840780012,Buchkalender Balacron schwarz 2018 - Bürokalender A5 / Cheftimer A5 - 1 Tag 1 Seite - 320 Seiten,"6,86","7,49",B06XG1PYZN,"Sigel J8101 Wochenkalender Jolie 2018, ca. A5, indigo blue - viele Modelle","6,81","12,8",386229465X,Timer Schwarz (Sei du selbst) A6 2018: Terminplaner in Lederoptik,"6,26","3,1"
Amazon.de,kondome,"99,98",B00N9W34X6,"Durex Kondome Gefühlsecht, 1er Pack (1 x 16 Stück)","15,14","7,59",B00KIQI5A8,"Durex Fun Explosion Kondome Megapack 40er Großpackung, 1er Pack (1 x 40 Stück)","12,94","3,21",B00DS2OVSY,Billy Boy Kondome - 50er Mix-Beutel,"11,34","3,65"
Amazon.de,laptop,"99,98",B01MQLSQL9,"Asus E200HA-FD0043TS 29,4 cm (11,6 Zoll) Notebook (Intel Atom X5-Z8350, 2GB RAM, 32GB eMMC, Intel HD-Grafik, Win 10 Home) gold","18,27","6,99",B01N5OBU2X,"Asus E200HA-FD0042TS 29,4 cm (11,6 Zoll) Notebook (Intel Atom x5-Z8350, 2GB RAM, 32GB eMMC, Intel HD Graphics, Win 10) blau","15,41","3,11",B0000953QD,"3M PF13.3 Blickschutzfilter Standard für Notebooks 33,8 cm Standard (entspricht 13,3"" Standard) 4:3","7,33","7,68"
Amazon.de,lego,"99,98",B00PY3EYQO,LEGO Classic 10698 - Große Bausteine-Box,"9,75","4,88",B013GY8MMO,LEGO City 60107 - Feuerwehrfahrzeug mit fahrbarer Leiter,"5,1","5,26",B01J41DNWM,LEGO Creator 31058 - Dinosaurier,"3,63","4,66"
Amazon.de,lego star wars,"99,98",B00SDTTH5E,LEGO Star Wars 75105 - Millennium Falcon,"8,18","2,96",B01J41K0HS,LEGO Star Wars 75168 - Yoda's Jedi Starfighter,"6,81","4,96",B06VVH3Z9K,LEGO Star Wars 75183 - Darth Vader Transformation,"5,22","2,93"
